"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"1219_3",61,"593","Quickborn-Heide > %AB Tanneneck > %AB Meeschensee > Rhen > Harkshörn (Nord)",3,"","",""
"1218_3",61,"578","Tangstedt > Wilstedt > %UB%AB Norderstedt Mitte / Norderstedt, Schulzentrum Süd",3,"","",""
"1217_3",61,"569","Gartenholz  >  Bf. Ahrensburg  >   %UB  Ahrensburg West  >  Schulzentr. Am Heimgarten",3,"","",""
"1213_3",61,"537","Stapelfeld  >  Brunsbek  >  Schulzentrum Schmalenbeck",3,"","",""
"1212_3",61,"535","Bf. Bergedorf  >  Luisen-Gymnasium / Hansa-Gymnasium",3,"","",""
"1211_3",61,"534","Bf. Bergedorf / %UB Mümmelmannsberg - Lohbrügge - %SB Nettelnburg",3,"","",""
"1209_3",61,"494","%UB%AB Norderstedt Mitte > Garstedt > Friedrichsgabe > Harksheide",3,"","",""
"1208_3",61,"493","%UB  %AB Norderstedt Mitte  >  Glashütte, Markt",3,"","",""
"1207_3",61,"478","Bargfeld-Stegen / Kayhude  > Wiemerskamp > Tangstedt (> Norderstedter Schulen)",3,"","",""
"1203_3",61,"462","Bf. Rahlstedt  >  Gewerbepark Merkur  >  Gewerbegebiet Stapelfeld-Braak",3,"","",""
"1202_3",61,"438","Lauenburg, ZOB  >  Spitzort  >  Moorring  >  Lauenburg, ZOB",3,"","",""
"1200_3",61,"428","Schulverkehr Altengamme",3,"","",""
"1199_3",61,"424","Kälbersteert  >  Krauel  >  Schule Kirchwerder  >  Schule Zollenspieker",3,"","",""
"1198_3",61,"422","Schule Ochsenwerder  >  Fünfhausen  >  Schule Ochsenwerder",3,"","",""
"1196_3",61,"395","%SB Wedel > Bf. Pinneberg  >  Rellingen  >  Tangstedt > Hasloh > %UB Garstedt",3,"","",""
"1195_3",61,"393","%UB  %AB Norderstedt Mitte  >  Harksheide  >  Harkshörn (Nord)",3,"","",""
"1194_3",61,"378","Glashütte  >  Tangstedt  >   Wilstedt  >  %UB%AB Norderstedt Mitte",3,"","",""
"1191_3",61,"339","Geesthacht, Ziegenkrug > Geesthacht, Oberstadt > Geesthacht, ZOB > Edmundsthal",3,"","",""
"1190_3",61,"338","Lauenburg, ZOB  >  Bf. Lauenburg  >  Unterstadt  >  Lauenburg, ZOB",3,"","",""
"1189_3",61,"337","Barsbüttel  >  Willinghusen  >  Stellau  >  Stapelfeld  >  Brunsbek  >  Trittau",3,"","",""
"1188_3",61,"336","Reinbek, Krabbenkamp  >  Reinbeker Schulen  >  Glinder Schulen",3,"","",""
"1184_3",61,"332","Mümmelmannsberg  >  Lohbrügge  >  Bf. Bergedorf  >  Friedhof Bergedorf",3,"","",""
"1183_3",61,"330","%UB Billstedt > Rotenbrückenweg > Billwerder Billdeich > %SB Mittlerer Landweg",3,"","",""
"1182_3",61,"328","Schule Kirchwerder > Schule Curslack  >  Curslacker Heerweg  >  Altengamme",3,"","",""
"1180_3",61,"323","Kirchwerder, Fersenweg  >  Schule Kirchwerder  >  Schule Curslack",3,"","",""
"1179_3",61,"322","Overwerder  >  Fünfhausen  >  Schule Kirchwerder",3,"","",""
"1178_3",61,"321","%SB Mittlerer Landweg > Allermöhe > Bf. Bergedorf > Energie-Campus Bergedorf",3,"","",""
"1176_3",61,"294","Barmstedt, Rantzauer See  >  Hemdingen  >  %AB Quickborn",3,"","",""
"1175_3",61,"293","%UB  %AB Norderstedt Mitte  >  Harksheide  >  Rhen  >  %AB Henstedt-Ulzburg > Kisdorf",3,"","",""
